
경기도자율주행센터_CCTV 영상 이벤트 데이터,서울대학교 연구소 차세대융합기술연구원 경기도자율주행센터 CCTV 영상 이벤트 데이터입니다.
경기도 명소 데이터 현황,경기도 명소 데이터 현황입니다.
경기도 테마관광지 현황,경기도 테마관광지 현황입니다.
경기도 체험관광지 현황,경기도 체험관광지 현황입니다.
경기도 자연관광지 현황,경기도 자연관광지 현황입니다.
경기도 역사관광지 현황,경기도 역사관광지 현황입니다.
경기도 문화시설지 현황,경기도 문화시설지 현황입니다.
경기도 레저스포츠 시설 현황,경기도 레저스포츠 시설 현황입니다.
경기도 관광쇼핑지 현황,경기도 관광쇼핑지 현황입니다.
경기도 굿스테이 현황,경기도 굿스테이 현황입니다.

건축물 에너지 효율등급 인증건물리스트 현황,건축물 에너지 효율등급 인증건물리스트 현황입니다.
백년가게 지정현황,백년가게 지정현황입니다.
경기도 역사건축명소 현황,경기도 역사건축명소 현황입니다.
경기도 농산물산지유통센터 현황,경기도 농산물산지유통센터(APC) 현황입니다.
경기도 문화행사 현황,"경기도 내에서 진행되는 문화 예술 관련 전시, 공연, 교육, 행사에 대한 정보입니다."
경기도 문화 공고소식 현황,경기도 내에서 진행되는 문화 예술 관련 사업의 공고 및 일반 소식에 대한 정보입니다.
판교테크노밸리_입주기업현황,경기도 성남시 판교테크노밸리에 입주 중인 기업 현황입니다.
소방관서 계급별 정원 현황,경기도 소재 소방관서들의 계급별 정원 현황입니다.
소방관서 1인당 담당 인구 현황,경기도에서 소방관서별 소방관 1인당 담당하는 인구 수 현황입니다.
KINTEX 행사 협력 업체 목록,경기도 산하 공공기관인 KINTEX의 행사 진행을 위한 협력 업체 Pool입니다.

KINTEX 시설 현황,경기도 산하 공공기관인 KINTEX의 시설 현황입니다.
민간위탁 맞춤형 보육 협약 현황,경기도 소재 소방서들에서 민간위탁으로 운영 중인 맞춤형 보육 현황입니다.
경기도 소방재난본부 소속 공무직 현황,경기도 소방재난본부 소속 공무직 인원 현황입니다.
경기도평생교육진흥원 모집정보 현황,경기도평생교육진흥원 행사별 모집정보 현황입니다.
공방사업자 현황,경기콘텐츠진흥원 소관 공방사업자 현황입니다.
경기주택도시공사 민원정보,경기주택도시공사에 접수된 연도별 월별 민원 건 수 현황입니다.
경기평택항만공사 부두시설 현황,경기평택항만공사 소관의 부두시설 현황 정보입니다.
경기도 임시선별검사소 설치 현황,코로나19 확산에 따라 설치된 임시선별검사소 목록입니다.
경기연구원 소장도서 목록,경기도 산하 공공기관인 경기연구원의 등록원부 목록입니다.
사고빈발 및 위험지역 현황,

경기도수원월드컵경기장 에너지 사용량 현황,경기도수원월드컵경기장의 월별 일일 에너지 평균 사용량 현황입니다.
경기도 문해교육 기관 현황,경기평생교육진흥원 소관 문해교육 기관 현황입니다.
경기아트센터 녹색제품 구매 현황,경기아트센터의 녹색제품 구매 현황입니다.
경기아트센터 여성간부 비율 현황,경기아트센터의 여성간부 비율 현황입니다.
경기도예술단 현원 현황,경기아트센터의 경기도 예술단 현원 현황입니다.
경기아트센터 정기간행물 예술과만남 현황,경기아트센터의 정기 간행물 예술과 만남 현황입니다.
경기도 평화누리길 코스별 조류 설명자료,경기관광공사에서 관리하는 경기도 평화누리길 코스별 서식 조류들에 대한 정보입니다.
경기도 평화누리길 대표 10종 동식물 선발 목록,경기관광공사에서 관리하는 경기도 평화누리길 코스 별 대표 동식물 10종 정보입니다.
경기도 착한여행 캠페인 참여 관광업체,경기관광공사 착한여행 캠페인에 참여 중인 관광업체 현황입니다.
간호간병통합서비스(공공) 현황,경기도 내 공공의료원 제공 간호간병통합서비스 현황입니다.

행복마을 관리소 현황,경기도 내 행복마을 관리소 현황입니다.
소독의무대상시설 현황,경기도 내 소독의무대상시설 현황입니다.
경기신용보증재단 대위변제발생 내역,경기신용보증재단 대위변제발생 내역입니다.
경기신용보증재단 보증부실발생 내역,경기신용보증재단 보증부실발생 내역입니다.
경기신용보증재단 신용보증지원실적 현황,경기신용보증재단 신용보증지원실적 현황입니다.
경기평택항만공사 컨테이너선 항로 개설 현황(선사현황),경기평택항만공사 소관의 컨테이너 정기선 항로 개설 현황(선사현황) 정보입니다.
경기평택항만공사 컨테이너선 항로 개설 현황(기항지),경기평택항만공사 컨테이너 정기선 항로 상의 기항지 목록 정보입니다.
경기평택항만공사 국제여객터미널(국제여객선) 항로 상세 정보,경기평택항만공사 소관의 국제여객터미널 항로 상세 정보입니다.
복지택시 운행현황,경기도 내 복지택시 운행현황 정보입니다.
아동돌봄공동체 현황,경기도 내 아동돌봄공동체 현황입니다.

1인당 공원면적 현황,경기도 시·군 별 1인당 공원면적 현황입니다.
청년정책거버넌스 운영현황,경기도 내 청년정책거버넌스 운영현황입니다.
청년기본소득 현황,경기도 청년기본소득 관련 현황 정보입니다.
노인일자리 현황,경기도 내 노인일자리 현황 정보입니다.
골목상권 현황,경기도내 골목상권 현황 정보입니다.
발달상권 현황,경기도 내 발달상권 현황 정보입니다.
온라인경력개발센터 꿈날개 교육정보,온라인경력개발센터 꿈날개 교육정보
안심식당 정보,안심식당정보 - 자동API 수집
사업장 폐기물 배출 신고 현황,경기도 내 사업장 폐기물이 발생한 업체들의 배출 목록 신고 현황입니다.
수도권 주택공급정책 추진지구 현황,수도권 주택공급 정책 추진지구 현황

도내 택지개발사업 현황,도내 택지개발사업 현황
도내 공공주택사업 현황,도내 공공주택사업 현황
경기도 의회 회의록 목록,경기도 의회 회의록 목록
경기도 기업 SOS넷 처리 현황,경기도 기업SOS넷의 기업 애로 처리 현황입니다.
수도권 주택공급 공공주택지구 현황,주거복지로드맵·수도권주택공급 공공주택지구 현황
경기도 행복주택 현황,경기도 행복주택 현황입니다.
한국도자재단 경기도 요장 현황,한국도자재단 전국요장 리스트 정보 입니다.
경기도여성가족재단_보유자료목록,경기도여성가족재단 보유자료목록입니다.
경기도여성가족재단_통계지표목록,경기도여성가족재단 통계지표목록입니다.
한국도자재단 소장품 정보,한국도자재단 소장품 정보입니다.

한국도자재단 도자 전시 정보,한국도자재단 도자 전시 정보입니다.
