
대구광역시교육청 대구광역시동부교육지원청,확대간부회의자료(2021.3.29.~4.25.)
대구광역시교육청 대구광역시달성교육지원청,2021년도 청렴도 향상 종합계획
충청남도교육청 충청남도공주교육지원청,[품의] 공주교육지원청 학교지원센터 운영 관련 업무 협의 간담회
충청남도교육청 충청남도논산계룡교육지원청,[출장] 2021학년도 1학기 영어듣기평가 시행 계획 및 논산계룡 고교학점제 선도지구 교감 설명회
국민권익위원회,청렴사회민관실무협의회 3월 회의 개최 계획 보고
충청남도교육청 충청남도공주교육지원청,[품의] 축의금 지급
경상남도 하동군,2020회계연도 세입·세출 결산검사 계획
경상남도 하동군,2020회계연도 세입·세출 결산 보고
충청남도교육청 충청남도태안교육지원청,[안내] 2021학년도 3~5월분 사립유치원 학급 운영비 교부
충청남도 당진시,2020회계연도 세입세출결산 보고

경상북도 영주시,자치법규 공포
경상북도 군위군,군위군 노사협의회 구성 및 운영 계획
충청남도 당진시,2021년 교육경비보조금 지급(교육지원청 통합사업)
충청남도 당진시,2021년 찾아가는 평생학습 활동가 운영 계획
광주광역시,2021년도 성과상여금 지급관련 자료 제출
인천광역시 계양구,2020회계연도 재무제표 결과 보고
인천광역시 계양구,2021년 제3회 의료급여심의위원회 개최
광주광역시,2021년 구급상황관리사 성과상여금 지급 계획 보고
인천광역시 계양구,2020회계연도 예산결산 결과 보고
광주광역시,광주광역시장 공로패 수여계획(안)

광주광역시,2021년 제1회 남북교류협력기금 기금운용심의위원회 서면심의 결과
문화재청,2021년도 제2회 대학평의원회 결과 보고
광주광역시,「2021년 4월 근속승진 대상자」근속승진심사 계획
문화재청,2021학년도 1학기 비전임 교원 운용계획 알림
문화재청,2021학년도 1학기 비전임 교원 운용계획 보고
문화재청,2021년도 제1차 학과간 협동과정위원회 결과 보고
문화재청,「2021년도 문화재청 개인정보보호 교육계획」보고
광주광역시 서구,2021년 성과상여금 지급
광주광역시,직장운동경기부 근대5종선수단 조리사 사직 수리 및 조리사 신규위촉 계획(안)
인천광역시 남동구,찾아가는 공감 소통의날 간담회 운영 계획

경기도 시흥시,2021 시흥혁신교육포럼 구성 계획
인천광역시 동구,2020회계연도 결산 결과(안) 보고
충청남도 공주시,공주시 평생교육협의회 구성 게획
경상남도 거제시,세출예산 전용결정(제3차)
경기도 동두천시,2020회계연도 결산검사 계획
경상북도 성주군,정보공개 원문정보 공개율 향상 협조 요청
충청북도 영동군,2021년도 제1회 추경예산 편성계획(안)
전라남도 진도군,진도군 공공건축심의위원회 구성.운영(안)
경상남도 양산시,2021년 추가경정예산 성립 전 예산 편성 통지(02-02차)
환경부,2021년 성희롱성폭력 예방계획

강원도 평창군,2021년도 통일교육 실시계획
울산광역시 남구,2020회계연도 결산검사 수검계획
울산광역시 북구,2020회계연도 예산 및 재무결산 결과 보고
경기도 가평군,「가평군 장학관 설치 및 운영 규정」 일부개정 방침 보고
